"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-02","70","81","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-03","69","84","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-04","71","83","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-05","65","75","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-06","66","81","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-07","70","84","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-08","73","83","63"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-09","71","88","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-10","76","91","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-11","65","73","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-12","59","61","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-13","55","64","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-14","60","69","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-15","65","75","61"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-16","66","71","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-17","66","74","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-18","64","66","60"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-19","63","72","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-20","62","71","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-21","61","70","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-22","65","73","59"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-23","63","63","58"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-24","60","66","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-25","59","63","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-26","58","65","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-27","59","70","53"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-28","61","76","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-29","64","80","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-09-30","65","76","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-01","62","72","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-02","62","73","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-03","58","58","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-04","56","59","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-05","59","68","55"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-06","59","73","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-07","60","61","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-08","59","67","56"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-09","60","68","57"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-10","59","62","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-11","53","59","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-12","57","62","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-13","56","63","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-14","56","63","51"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-15","53","60","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-10-16","56","62","51"
