"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-16",,"89","56",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-17",,"90","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-18",,"83","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-19",,"70","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-20",,"82","66",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-21",,"84","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-22",,"86","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-23",,"84","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-24",,"90","55",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-25",,"91","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-26",,"90","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-27",,"87","58",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-28",,"88","62",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-29",,"86","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-30",,"88","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-10-31",,"87","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-01",,"88","61",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-02",,"87","64",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-03",,"64","41",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-04",,"59","36",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-05",,"74","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-06",,"82","45",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-07",,"85","53",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-08",,"86","63",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-09",,"66","43",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-10",,"44","33",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-11",,"53","26",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-12",,"65","24",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-13",,"71","42",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-14",,"80","62",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-15",,"86","69",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-16",,"75","59",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-17",,"68","50",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-18",,"81","57",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-19",,"87","70",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-20",,"71","47",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-21",,"69","41",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-22",,"79","54",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-23",,"79","44",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-24",,"45","30",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-25",,"61","26",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-26",,"70","41",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-27",,"79","38",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-28",,"84","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-29",,"79","48",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-11-30",,"82","51",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-01",,"80","58",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-02",,"79","60",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-03",,"61","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-04",,"75","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-05",,"60","24",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-06",,"37","17",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-07",,"56","16",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-08",,"66","32",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-09",,"67","39",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-10",,"67","41",
"USW00013958","AUSTIN CAMP MABRY, TX US","1950-12-11",,"83","38",
